Hello	O
Adam	I-PER
,	O
how	O
are	O
you	O
today	O
?	O

Today	O
is	O
Saturday	O
.	O

I	O
am	O
driving	O
to	O
Yellow	I-LOC
##stone	I-LOC
National	I-LOC
Park	I-LOC
in	O
the	O
afternoon	O
.	O

B	O
##un	O
##nies	O
and	O
rabbits	O
are	O
the	O
same	O
thing	O
.	O

Adam	I-PER
Lewis	I-PER
was	O
here	O
.	O

In	O
Beirut	I-LOC
,	O
a	O
string	O
of	O
officials	O
voiced	O
their	O
anger	O
,	O
while	O
at	O
the	O
United	I-ORG
Nations	I-ORG
summit	O
in	O
New	I-LOC
York	I-LOC
,	O
P	O
##rim	O
Minister	O
F	I-PER
##ou	I-PER
##ad	I-PER
Sin	I-PER
##ior	I-PER
##a	I-PER
said	O
the	O
Lebanese	I-MISC
people	O
are	O
re	O
##sol	O
##ute	O
in	O
preventing	O
such	O
attempts	O
from	O
destroying	O
their	O
spirit	O
.	O

